Date,Volume,Price
2013-03-19,8925.135132,60
2013-03-20,8377.39207,67.99
2013-03-21,10130.33519,76.91
2013-03-22,5171.986612,74.29
2013-03-23,13093.200716790001,72
2013-03-24,3634.958673,71
2013-03-25,8298.227319,80
2013-03-26,6682.399886,100
2013-03-27,6163.490944,90.99
2013-03-28,11061.06733,97
2013-03-29,5410.877829,95
2013-03-30,1627.079639,94
2013-03-31,2048.65241,96.15
2013-04-01,6647.479779,106.5
2013-04-02,7148.101652,123.97
2013-04-03,15609.71217,158.41
2013-04-04,5705.777514,150
2013-04-05,7688.521925,200
2013-04-06,3816.726555,143.8
2013-04-07,7979.085616,171.8
2013-04-08,12112.01463,198
2013-04-09,11260.27468,235.29
2013-04-10,23500.69953,259.34
2013-04-11,40457.26236,178.99
2013-04-12,24588.99696,118
2013-04-13,15761.76876,119
2013-04-14,6023.603943,99.99
2013-04-15,21020.95103,99.8
2013-04-16,35780.36899,82
2013-04-17,28958.71278,101.12
2013-04-18,19217.95128,116.55
2013-04-19,22883.7338,140.2
2013-04-20,7134.745881,129.79
2013-04-21,17410.73357,128.75
2013-04-22,6751.100067,125.97
2013-04-23,13514.67267,142.64
2013-04-24,20698.28936,161
2013-04-25,17553.37149,170.28
2013-04-26,9670.430818,139.86
2013-04-27,6794.35162,148.61
2013-04-28,5314.63374,148.18
2013-04-29,10271.99839,151.65
2013-04-30,9752.696844,144.99
2013-05-01,20617.82491,136.5
2013-05-02,22461.12491,127.24
2013-05-03,26289.99938,100.4
2013-05-04,15756.38017,118.76
2013-05-05,9364.993437,119.94
2013-05-06,18089.01812,123.97
2013-05-07,13991.04992,115.95
2013-05-08,9508.678391,116.29
2013-05-09,5349.15506,112.82
2013-05-10,10123.93872,119.98
2013-05-11,3973.253238,117.88
2013-05-12,3222.624845,117.86
2013-05-13,3651.980916,117.48
2013-05-14,14006.83849,117.9
2013-05-15,9814.553114,113
2013-05-16,7160.765644,114
2013-05-17,9525.105843,118.16
2013-05-18,3655.643793,118.63
2013-05-19,4820.101195,118.98
