video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled
hWLjYJ4BzvI,2578168,72967,863,7751,FALSE,FALSE
MQCbYju-GXQ,867932,6989,475,1360,FALSE,FALSE
CFatEWNx5RQ,762937,21708,417,2661,FALSE,FALSE
I_u2a4umkCk,309176,3007,257,2002,FALSE,FALSE
IM1oxebrsp4,940179,22067,785,3335,FALSE,FALSE
Sb_hCbZ80aQ,1668355,28471,1858,1463,FALSE,FALSE
kR523F9XZXo,110306,2438,159,493,FALSE,FALSE
8uVt9Fn7xw0,372710,2314,623,2726,FALSE,FALSE
40HS_V_8v7c,342544,2070,408,275,FALSE,FALSE
Zd3dd8DLBpc,180668,5269,231,621,FALSE,FALSE
sokPIM7npF8,285698,27723,305,1206,FALSE,FALSE
6dR0kex7UGE,171459,7719,188,907,FALSE,FALSE
8EkIKtHQz5Q,316150,5339,376,1232,FALSE,FALSE
9DUfFHaUpxg,1226985,35641,402,2069,FALSE,FALSE
RGzv_s-j1wg,429075,17634,376,4461,FALSE,FALSE
qUmfriZoMw0,10856602,35572,1232,2633,FALSE,FALSE
7rOQv_6L9fQ,2494584,35785,7591,2486,FALSE,FALSE
0WPYpeJA__U,35467,227,8,48,FALSE,FALSE
hCk3CyjlTH8,331579,24811,108,2432,FALSE,FALSE
xDd9G2X6al0,774005,21507,384,3834,FALSE,FALSE
ieTdvQOH5Gc,144609,1584,23,548,FALSE,FALSE
jb5bodJOUD0,898666,3741,670,160,FALSE,FALSE
krGrMPMcLFs,503828,11869,540,224,FALSE,FALSE
HX3tKAcCcxA,640268,38304,630,6510,FALSE,FALSE
fRc10tCB3Do,162648,2048,158,294,FALSE,FALSE
hL6yWko4vS0,190871,1655,198,233,FALSE,FALSE
1YOKB-bLaPg,74864,626,47,183,FALSE,FALSE
WhnHKIT9124,420629,1751,384,158,FALSE,FALSE
kouLVHEx51k,326356,19285,109,2176,FALSE,FALSE
J3n_RspaavA,1606780,75870,536,8201,FALSE,FALSE
no3puNSK6BY,26971,880,3,193,FALSE,FALSE
cQ54GDm1eL0,2961991,58948,9704,7012,FALSE,FALSE
Nh3oZwuEYHc,831301,106406,830,4106,FALSE,FALSE
MC5ChT_D894,267240,17948,421,1300,FALSE,FALSE
4V38pzhWwCo,1785835,57075,1665,10454,FALSE,FALSE
6hNCEQpjKqE,243300,31557,1180,3560,FALSE,FALSE
xnwhYVE6_BM,479853,5469,209,748,FALSE,FALSE
J6TRJ5ShyK0,83022,2282,94,191,FALSE,FALSE
29zlbazAvHA,2675314,234965,3600,14799,FALSE,FALSE
aizVxy4Xytk,851391,37755,3983,30189,FALSE,FALSE
zMxIW7uwDGg,10003191,114960,6844,9965,FALSE,FALSE
eMmfNGXdXo4,190060,12668,113,950,FALSE,FALSE
sRyJZJDjm3M,200459,785,176,55,FALSE,FALSE
3p8uI5oCJwY,132160,808,95,111,FALSE,FALSE
No99lbNwBg0,74983,3348,47,183,FALSE,FALSE
s9IwamztdqA,279951,10973,471,2541,FALSE,FALSE
tiF9SzzzX_o,468415,9820,1043,1100,FALSE,FALSE
thOm3ERcDa0,130964,5427,68,668,FALSE,FALSE
eQjIQoBFBb0,1832369,76734,3011,25701,FALSE,FALSE
ORIpWftFyqo,5099701,141207,6236,5262,FALSE,FALSE
zQlpcWkZPf0,1754,60,0,16,FALSE,FALSE
DlFmfxACvig,305959,47782,500,5911,FALSE,FALSE
SLL6gpy00WE,2056151,31270,1696,4350,FALSE,FALSE
VP_ki-W3cLY,3546471,136895,2216,4776,FALSE,FALSE
HZpI5BsW1ZA,508632,3892,213,1978,FALSE,FALSE
kjS0QPfl_9k,1484619,53962,2253,9058,FALSE,FALSE
AdQsDopZfS4,2923789,7620,986,5220,FALSE,FALSE
bhAtmrm0mwE,194851,1222,411,274,FALSE,FALSE
bjDNH7bFP14,944475,1373,440,30,FALSE,FALSE
t5V9d07aIBQ,635518,17504,639,6722,FALSE,FALSE
7-cp_xLrHzk,1130986,38314,858,2526,FALSE,FALSE
wes6mVmRSeA,294728,3192,64,424,FALSE,FALSE
OUBiz4B0UvA,1516644,19901,1010,2481,FALSE,FALSE
TTxXQyySQ58,86942,14827,114,770,FALSE,FALSE
lTDeQBwmZIg,133230,1920,155,1136,FALSE,FALSE
exx1lUDR30U,1310130,66434,1884,11066,FALSE,FALSE
Vw4Hr-IKXGk,221017,1973,159,86,FALSE,FALSE
e-0YnJlFPeE,5299482,131433,3995,6997,FALSE,FALSE
UVrmSi724D4,1580189,38360,528,729,FALSE,FALSE
cRs-wBddqZk,189496,4364,130,1321,FALSE,FALSE
xNNxGzBfZ2k,443983,4078,248,470,FALSE,FALSE
Nu1mCFToXxU,642342,35671,247,13698,FALSE,FALSE
RQaVzbxZqXY,8566331,243529,7235,9222,FALSE,FALSE
urOhWPAS8OI,581881,26824,435,6658,FALSE,FALSE
U6kl5xqQofo,3841044,17735,2966,2432,FALSE,FALSE
yLeQuz8YzIs,35640,467,39,323,FALSE,FALSE
_2d8BTYMcIE,165309,4938,112,1199,FALSE,FALSE
XzXBq8KCw8I,96504,4866,186,957,FALSE,FALSE
BsM-LN_rxCg,244423,19304,120,1817,FALSE,FALSE
lT-vH8nJASo,341849,1672,538,2405,FALSE,FALSE
Nb-_ezmgLvA,226733,6730,513,1081,FALSE,FALSE
Mybvh1K3YVs,206221,7325,144,951,FALSE,FALSE
SvPHcQvOCe4,515622,715,459,1324,FALSE,FALSE
eYZ1Jh2gVUg,387856,2608,497,377,FALSE,FALSE
ccgIXa7TIkc,654169,6951,1225,1961,FALSE,FALSE
pca-BHt8VsU,533787,3634,1332,11632,FALSE,FALSE
BGRM-KYanuQ,79326,2599,77,751,FALSE,FALSE
mJQRgnpCSUQ,68846,1878,44,327,FALSE,FALSE
JZSmsDvxKek,140058,10350,500,3721,FALSE,FALSE
D2ITOJxgfeQ,958341,85287,643,4249,FALSE,FALSE
0HX039UdGpU,1671521,48592,3250,3827,FALSE,FALSE
BJpQIcXH90g,12768,73,4,10,FALSE,FALSE
U-F7OaC0pQ8,1767997,51615,1824,3017,FALSE,FALSE
Mvu_Tfn3mVA,33993,1227,29,527,FALSE,FALSE
OBOm_jatVCI,1196319,26617,645,3221,FALSE,FALSE
ibBNRNN1c3Q,28328,51,21,56,FALSE,FALSE
sP3EHBr3mGA,234352,10159,141,553,FALSE,FALSE
kYbmlMJYVeQ,30206,233,43,63,FALSE,FALSE
gQqi_Vm1oqU,882311,15890,720,2883,FALSE,FALSE
DX5_o-mumvE,875544,26201,1606,4936,FALSE,FALSE
Pokk2uia5-E,594926,16073,226,2201,FALSE,FALSE
qSx94UIEn0U,179014,1495,377,1208,FALSE,FALSE
KuPKjrzeDlk,106281,678,47,168,FALSE,FALSE
jZwlGiSPb3w,346757,1855,384,162,FALSE,FALSE
ykebaQNF9cI,121514,333,66,286,FALSE,FALSE
gP6uGOLeG0M,43732,425,61,281,FALSE,FALSE
1l0nG-1SFVk,445160,13186,391,1315,FALSE,FALSE
W2C2LHE0szI,828071,42444,2193,6273,FALSE,FALSE
TITlnMA7bH8,2058768,147166,3421,6653,FALSE,FALSE
ixQ0GrnfIco,164448,0,0,414,FALSE,TRUE
#NAME?,464265,12477,291,2223,FALSE,FALSE
oidnwPIeqsI,296340,10015,135,1230,FALSE,FALSE
6i2cebTn0nc,1279985,63959,1331,10789,FALSE,FALSE
UNdd_MotqrI,247534,4426,154,255,FALSE,FALSE
7Nv1KoqM6vc,2872226,28780,1476,2049,FALSE,FALSE
pcWKpGzhgq4,574778,7517,154,515,FALSE,FALSE
RCJfwEL6hkE,426653,4176,183,489,FALSE,FALSE
zM65IkGfNRg,119685,1773,134,372,FALSE,FALSE
0rreXyz0EVo,111675,6818,72,604,FALSE,FALSE
PLcm4U2E4yM,142159,9766,81,1252,FALSE,FALSE
4ckRY0DlDEs,1339489,63072,1209,9425,FALSE,FALSE
VKW64fQwzRc,44661,379,28,284,FALSE,FALSE
x2KAYep8FwI,1168487,24878,788,3465,FALSE,FALSE
OChD3Wz2s6Y,121277,7102,743,2217,FALSE,FALSE
nzNGEB1BQuM,740195,56077,1256,6644,FALSE,FALSE
n7YddfDo4N0,275241,27259,274,2712,FALSE,FALSE
bg3hJuBtE-8,3411918,70498,4985,3957,FALSE,FALSE
#NAME?,241896,3049,142,1683,FALSE,FALSE
kFSm6gany_Q,1423657,17983,1423,1293,FALSE,FALSE
CP6aYDssDSE,470720,14636,793,2842,FALSE,FALSE
CxBj42JhqDI,743799,79239,762,19318,FALSE,FALSE
sjVqDg32_8s,3967200,41742,1500,3896,FALSE,FALSE
3RAq5lbNxJo,36246,66,10,31,FALSE,FALSE
4QDDxmtbUsw,1031566,40447,266,3322,FALSE,FALSE
ocRMfJrDRFg,762614,13506,740,1271,FALSE,FALSE
eiudTjsGM7g,1173382,30064,373,1737,FALSE,FALSE
BXnGUUsdnR8,677098,18993,1253,4876,FALSE,FALSE
Efa9BH-uvXM,161123,1063,135,141,FALSE,FALSE
_2GJHX1iC6g,151795,2406,167,408,FALSE,FALSE
ddvX9eaUSgc,12836805,26154,11802,823,FALSE,FALSE
xLkHEZTSeoU,2983150,132086,4997,12511,FALSE,FALSE
J3gciAsltCw,500583,26511,1763,9310,FALSE,FALSE
iggOs5y7xbk,299731,4917,716,1225,FALSE,FALSE
HnnRyhuX_jM,848764,19656,842,3418,FALSE,FALSE
SY14V2CgDNI,72431,580,177,221,FALSE,FALSE
W0Anp0wmXek,383551,10766,376,2057,FALSE,FALSE
XmzCr3Pehtw,2419381,229346,11347,7955,FALSE,FALSE
ij6-Y01JnWM,78716,51,25,12,FALSE,FALSE
#NAME?,2315,44,3,38,FALSE,FALSE
G3Fc_eOkM8M,1318836,80830,397,6655,FALSE,FALSE
l2EkjbyZ1t4,4776,35,2,5,FALSE,FALSE
1mYB8onrPt0,517427,8533,959,2950,FALSE,FALSE
xCwwxNbtK6Y,1257147,18035,510,3273,FALSE,FALSE
K8SeMivyqRk,1345929,7597,715,3088,FALSE,FALSE
cytyAgu9-bA,1928346,92292,606,6737,FALSE,FALSE
bz91MAdY6FQ,30661,147,23,22,FALSE,FALSE
OueYc1E3WZg,421956,13616,231,1064,FALSE,FALSE
wXqIjmcED0I,1329405,44479,991,5340,FALSE,FALSE
pvudzQs67w4,205007,2136,81,975,FALSE,FALSE
8R2cPhn4Eas,10272,445,8,229,FALSE,FALSE
4cxSvglcIN0,7435,49,4,8,FALSE,FALSE
aGl-1nwahCA,1384556,39463,1354,3593,FALSE,FALSE
GIX1oKxt4sg,405921,11507,894,2464,FALSE,FALSE
Q3L0gArhmaE,2447039,219015,6262,26303,FALSE,FALSE
i8EJkbADR3o,558307,2423,255,2758,FALSE,FALSE
eKR_n4alu3o,970857,35299,506,15616,FALSE,FALSE
5eAmJtvgQyQ,564675,984,472,314,FALSE,FALSE
eT7MhNj_oTU,66579,599,66,62,FALSE,FALSE
1RHbLxQw-sc,615241,35344,719,5713,FALSE,FALSE
LVDZu7nbdcs,567196,20076,132,1805,FALSE,FALSE
jNgKSbrfOX0,112879,4491,75,750,FALSE,FALSE
JFCWmQD1jms,144207,4378,121,466,FALSE,FALSE
FvVN9oaHtdA,121468,422,71,37,FALSE,FALSE
k9ixzuob2rM,121305,3922,197,317,FALSE,FALSE
FYPRiI_GiaM,416033,23786,11243,4184,FALSE,FALSE
eWtSEFGJDcI,119596,6220,100,814,FALSE,FALSE
mXOTJ-tluUU,166174,3575,131,175,FALSE,FALSE
OW0Wt30EeCc,359666,5295,111,309,FALSE,FALSE
__Wd-iOZQ6k,1354590,60899,799,3516,FALSE,FALSE
Df9UP6_7P3U,429785,3972,433,1864,FALSE,FALSE
au2n7VVGv_c,14333437,588112,11251,25674,FALSE,FALSE
FHu8iWUaXDE,910419,22425,728,5759,FALSE,FALSE
WrEipvb5kAk,210518,5273,242,732,FALSE,FALSE
iE-DWLOolUs,267576,24095,763,8908,FALSE,FALSE
PJbZzM6ZsUg,453515,4307,2195,1620,FALSE,FALSE
kZYKnREz9Vo,145565,5483,464,1009,FALSE,FALSE
rJNpWgla9QI,789741,6530,283,1909,FALSE,FALSE
E9pIhue2lSU,649142,14931,790,2548,FALSE,FALSE
SXMhL_UoVWw,835517,49372,447,3763,FALSE,FALSE
sstkfBL0f2M,122594,233,53,91,FALSE,FALSE
WA0Ek8RT20s,2648082,282046,31931,49026,FALSE,FALSE
jxpfLjupMQU,596513,17418,563,3419,FALSE,FALSE
zlAqizx7Lf0,2970259,216377,6551,22433,FALSE,FALSE
ad_higXixRA,2841864,55055,2432,4420,FALSE,FALSE
Wd_idMpg_qQ,1269768,99560,1662,13697,FALSE,FALSE
Yolu0WUcDgs,570280,833,235,20,FALSE,FALSE
rdFXddVsUuQ,670962,32068,1653,4169,FALSE,FALSE
HoYPSfR8j3Y,1477868,36289,960,5283,FALSE,FALSE
NEYU_5LkjHY,58662,809,11,110,FALSE,FALSE
7nKZt8uz9ZM,1174711,5859,82,535,FALSE,FALSE
ppLEscB5EU0,259009,825,320,1483,FALSE,FALSE
1P27Q5C9cfA,169845,1582,44,117,FALSE,FALSE
1EVOg27S3hs,465284,3829,770,2444,FALSE,FALSE
LxVfshdEKt4,356037,16718,333,3947,FALSE,FALSE
Xr2rgT9uEnA,2226213,91095,2358,6032,FALSE,FALSE
F-vDHgcRBkI,275153,548,105,790,FALSE,FALSE
x0VuQjEXMF8,164468,6057,166,1722,FALSE,FALSE
OVRjkAjE8j0,205749,4277,305,440,FALSE,FALSE
2LdkXT7Oo6Q,179399,9064,137,819,FALSE,FALSE
QWlfnT9jsBE,51001,720,39,214,FALSE,FALSE
OjmcKNa3w40,818943,77692,301,3997,FALSE,FALSE
X2IX7SGcnCQ,102183,864,441,1352,FALSE,FALSE
Yav1kBLXMxI,314049,12692,252,2772,FALSE,FALSE
jSYgh4z1-dg,555405,5544,750,1377,FALSE,FALSE
PjK5P7NMyWc,164817,9629,250,3699,FALSE,FALSE
Z90T9riY8Xs,1993340,35379,1729,2984,FALSE,FALSE
iTYbdZRfWRE,248679,7312,468,1022,FALSE,FALSE
oFwabWdExsA,358161,11577,211,1484,FALSE,FALSE
