type,id,name,lat,lon,cuisine,brand
node,5677724756,Tim Hortons,43.7257137,-79.3139532,coffee_shop,Tim Hortons
node,5693900419,Happy Lemon,43.7763936,-79.414403,bubble_tea,Happy Lemon
node,5708841324,Balzac's Coffee,43.6577585,-79.3791497,coffee_shop,
node,5709180037,Black Canary,43.6569784,-79.3810058,,
node,5709568921,XOXO Cafe,43.7366826,-79.5627464,,
node,5711958522,Chatime,43.6484581,-79.3972625,bubble_tea,Chatime
node,5717888821,Agenda Cafe,43.6551627,-79.4148054,,
node,5717919321,Little Pebbles Cafe,43.6558978,-79.4112776,,
node,5720602222,BKookies,43.6552385,-79.4131556,,
node,5720605317,Cafe Bene,43.7783487,-79.4149116,korean;cafe,
node,5720632724,Coco's,43.6552355,-79.4166327,,
node,5720795525,Belen,43.6558182,-79.4117175,,
node,5721149721,Sicilian Sidewalk Café,43.655355,-79.4185894,,
node,5721283769,Gong Cha,43.777279,-79.4146576,bubble_tea,Gong Cha
node,5723546121,Northern Belle,43.6508609,-79.4125842,,
node,5723689822,Cha Thai,43.6522755,-79.4067214,,
node,5745628211,Tim Hortons,43.7752786,-79.3475589,coffee_shop,Tim Hortons
node,5793561215,Aroma Espresso Bar,43.7698334,-79.502135,coffee_shop,Aroma Espresso Bar
node,5793891408,Country Style,43.737107,-79.5247668,coffee_shop,Country Style
node,5794134376,Tim Hortons,43.6961471,-79.5448311,coffee_shop,Tim Hortons
node,5794366149,Rustic Cosmo Cafe,43.642072,-79.4299984,,
node,5794366163,Fab's Donuts,43.6396299,-79.4420823,donut,
node,5794386493,Bobo Tea & Juice,43.6400366,-79.3964202,,
node,5799179253,It's Jenny Espresso Boutique and Catering,43.6618001,-79.3689897,,
node,5825318247,Tim Hortons,43.7254976,-79.4026203,coffee_shop,Tim Hortons
node,5825385189,The Fix,43.638257,-79.3805002,ice_cream,
node,5847483944,Demetres,43.7344074,-79.3464996,dessert,
node,5847483945,Tim Hortons,43.7336664,-79.3461012,coffee_shop,Tim Hortons
node,5852579246,Tim Hortons,43.790001,-79.1937147,coffee_shop,Tim Hortons
node,5910080654,Starbucks,43.6352008,-79.5632667,coffee_shop,Starbucks
node,5970902402,CoCo Fresh Tea & Juice,43.6491526,-79.3953923,bubble_tea,CoCo
node,5986863969,Rosey J Cafe,43.7791426,-79.4173487,,
node,5986863970,CoCo Fresh Tea & Juice,43.7791878,-79.4171813,bubble_tea,CoCo
node,5986981494,Gong Cha,43.7735463,-79.2559307,bubble_tea,Gong Cha
node,5987043916,Feng Cha Tea Shop,43.8054822,-79.2884116,,
node,5987043918,Happy Lemon,43.8049324,-79.2878483,bubble_tea,Happy Lemon
node,5987043921,Boba Boy,43.804895,-79.2880465,,
node,5991923053,Aroma Espresso Bar,43.768648,-79.386429,coffee_shop,Aroma Espresso Bar
node,6001296589,Arena Coffee Bar,43.6503498,-79.358811,coffee_shop,
node,6008096825,Tim Hortons,43.7076454,-79.4766633,coffee_shop,Tim Hortons
node,6064372694,The Maker Bean Café,43.6606542,-79.432418,coffee_shop,
node,6068842914,Gong Cha,43.7702114,-79.5005108,bubble_tea,Gong Cha
node,6100935370,Tim Hortons,43.7428889,-79.3049142,coffee_shop,Tim Hortons
node,6152817679,Royaltea,43.7736318,-79.4142877,bubble_tea,Royaltea
node,6173965252,Tim Hortons,43.6023912,-79.5451051,coffee_shop,Tim Hortons
node,6179553939,Lido Caffe,43.6745219,-79.4577198,coffee_shop,
node,6181451919,Fix,43.6449725,-79.428214,coffee_shop,
node,6181451956,Buna,43.6429428,-79.425627,coffee_shop,
node,6181451964,Major Treat Coffee,43.6430505,-79.4250872,coffee_shop,
node,6184565116,The Abbott,43.637944,-79.4306152,coffee_shop,
node,6184565140,Ama Ko Momo,43.638834,-79.4284795,,
node,6201102927,Mercat del Carmen,43.6449279,-79.4157779,,
node,6201102957,Antikka,43.6446537,-79.4171334,,
node,6240360528,Pilot Coffee Roasters,43.6466325,-79.4195558,coffee_shop,
