,C0,C1,C2,C3,C4,C5,C6
703,LhbdBcDCd-U,1233596,16528,3856,2667,False,False
704,DZ6Ro2KkaYo,912240,5638,223,1127,False,False
705,doAq2FutWYA,1115523,5049,285,284,False,False
706,#NAME?,257101,1171,29,497,False,False
707,f0r_l2iYUzQ,697708,4554,3905,1565,False,False
708,UnwjBv38fWk,132791,1257,107,1001,False,False
709,Aic-LB6MUtM,14285,473,11,445,False,False
710,8Gj0Ir6SUuI,52760,5258,18,540,False,False
711,Fq-XD6Pb9HQ,66105,5738,46,732,False,False
712,yef_HfQoBd8,2201357,24694,1482,2703,False,False
713,4aAy2KGHX0w,349962,23602,306,2144,False,False
714,5TkalDZ7mtI,4549,180,7,47,False,False
715,ylcSnEtFAg0,48043,2760,64,375,False,False
716,LzzV-WF4ggg,257912,23393,308,920,False,False
717,ho0WBKPJtfc,823812,73311,686,9373,False,False
718,wW4JB9tjlik,858773,24299,5097,3902,False,False
719,Os9ce4XFS1M,226877,8239,146,392,False,False
720,ka0owW3i2tA,821825,20053,264,5780,False,False
721,wTeTHjpPMgU,2537211,30049,3793,3676,False,False
722,vorkmWa7He8,2171844,64448,8418,16685,False,False
723,YTiYQwk7Bw0,128316,5972,164,2049,False,False
724,_hMQe2U4c6w,6165010,263302,13616,18348,False,False
725,5tSTk1083VY,773116,21049,777,3926,False,False
726,3XklsSF53pc,399646,13557,295,1326,False,False
727,tRBsfAIg4-0,4616887,479065,46453,83862,False,False
728,6dI1HjBa9Os,75407,6922,27,799,False,False
729,bSJ8mpWBVeE,2524322,32092,2178,7971,False,False
730,HbYhXMY3VV8,1383902,54032,1376,7765,False,False
731,CuWXtNotvPE,26744,2139,27,298,False,False
732,tGUmbFFKvtU,991027,5898,542,3461,False,False
733,eUgrVCDUCtE,1258533,26730,3124,7245,False,False
734,7Cm67Z1ajdo,58240,1995,29,344,False,False
735,AXM0d9UfkY8,14422,134,10,18,False,False
736,gxepM2uSW9g,1767772,34271,574,0,True,False
737,59qrNc1J9aU,129394,146,31,245,False,False
738,IrmsHzNTSZ0,488304,21018,884,4091,False,False
739,lxpGg5AnQqY,41596,114,62,229,False,False
